experiment	timestamp	score	best_score	kept	mutations	elapsed_sec	params
1	2026-03-29T11:35:41.861986	75.6500	75.6500	True	edge_weight_method: geometric_mean -> min	5.4	{"min_df": 2, "max_df": 300, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
2	2026-03-29T11:35:46.142627	75.5669	75.6500	False	max_verse_freq: 300 -> 325; lemma_verb_first: True -> False	4.3	{"min_df": 2, "max_df": 300, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 325, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": false, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
3	2026-03-29T11:35:49.135375	61.0578	75.6500	False	min_tfidf_score: 0.04 -> 0.0435; min_df: 2 -> 1; norm: l2 -> l1	3.0	{"min_df": 1, "max_df": 300, "min_tfidf_score": 0.0435, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
4	2026-03-29T11:35:52.587682	75.4661	75.6500	False	edge_weight_method: min -> geometric_mean	3.5	{"min_df": 2, "max_df": 300, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "geometric_mean", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
5	2026-03-29T11:35:55.967335	75.6981	75.6981	True	max_df: 300 -> 275	3.4	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
6	2026-03-29T11:35:59.154828	74.4692	75.6981	False	max_edges_per_verse: 12 -> 16; edge_weight_method: min -> harmonic_mean	3.2	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 16, "max_verse_freq": 300, "edge_weight_method": "harmonic_mean", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
7	2026-03-29T11:36:02.428836	75.6981	75.6981	False	max_verse_freq: 300 -> 275	3.3	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 275, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
8	2026-03-29T11:36:05.644602	75.5722	75.6981	False	edge_weight_method: min -> harmonic_mean	3.2	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "harmonic_mean", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
9	2026-03-29T11:36:09.064989	71.9597	75.6981	False	min_tfidf_score: 0.04 -> 0.0265; norm: l2 -> l1	3.4	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.0265, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
10	2026-03-29T11:36:12.439642	75.6981	75.6981	False	max_verse_freq: 300 -> 325	3.4	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 325, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
