experiment	timestamp	score	best_score	kept	mutations	params
1	2026-03-29T17:00:12.749032	59.0215	59.0215	True	traverse_hop2_limit: 40 -> 50; hop1_score_boost: 0.5 -> 0.7855; keyword_min_score: 0.0 -> 0.0249	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 30, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.25, "dedup_strategy": "keep_highest", "max_total_results": 200}
2	2026-03-29T17:00:12.818860	54.9459	59.0215	False	max_total_results: 200 -> 300; keyword_prefix_match_len: 5 -> 7	{"keyword_prefix_match_len": 7, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 30, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.25, "dedup_strategy": "keep_highest", "max_total_results": 300}
3	2026-03-29T17:00:12.890275	56.0820	59.0215	False	keyword_prefix_match_len: 5 -> 6	{"keyword_prefix_match_len": 6, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 30, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.25, "dedup_strategy": "keep_highest", "max_total_results": 200}
4	2026-03-29T17:00:12.955815	56.3343	59.0215	False	hop2_score_boost: 0.25 -> 0.1249; keyword_prefix_match_len: 5 -> 8	{"keyword_prefix_match_len": 8, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 30, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.1249, "dedup_strategy": "keep_highest", "max_total_results": 200}
5	2026-03-29T17:00:13.030191	59.0215	59.0215	False	traverse_hop2_limit: 50 -> 30	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 30, "traverse_hop1_limit": 60, "traverse_hop2_limit": 30, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.25, "dedup_strategy": "keep_highest", "max_total_results": 200}
6	2026-03-29T17:00:13.103882	59.0215	59.0215	False	traverse_min_edge_score: 0.0 -> 0.1228; traverse_hop2_limit: 50 -> 80	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 30, "traverse_hop1_limit": 60, "traverse_hop2_limit": 80, "traverse_default_hops": 1, "traverse_min_edge_score": 0.1228, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.25, "dedup_strategy": "keep_highest", "max_total_results": 200}
7	2026-03-29T17:00:13.161352	59.8467	59.8467	True	keyword_max_results: 0 -> 0; hop2_score_boost: 0.25 -> 0.15; traverse_seed_limit: 30 -> 10	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 200}
8	2026-03-29T17:00:13.218012	59.8467	59.8467	False	keyword_max_results: 0 -> 0; hop2_score_boost: 0.15 -> 0.0866	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.0866, "dedup_strategy": "keep_highest", "max_total_results": 200}
9	2026-03-29T17:00:13.274862	59.8467	59.8467	False	hop2_score_boost: 0.15 -> 0.2453	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 60, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.2453, "dedup_strategy": "keep_highest", "max_total_results": 200}
10	2026-03-29T17:00:13.332228	58.6653	59.8467	False	traverse_hop1_limit: 60 -> 70; traverse_default_hops: 1 -> 1; max_total_results: 200 -> 150	{"keyword_prefix_match_len": 5, "keyword_min_score": 0.0249, "keyword_max_results": 0, "traverse_seed_limit": 10, "traverse_hop1_limit": 70, "traverse_hop2_limit": 50, "traverse_default_hops": 1, "traverse_min_edge_score": 0.0, "hop1_score_boost": 0.7855, "hop2_score_boost": 0.15, "dedup_strategy": "keep_highest", "max_total_results": 150}
